"Kod";"Nazwa";"ogółem;ogółem;2019;[osoba]";
1206022;"Igołomia-Wawrzeńczyce (2)";7698;
1206032;"Iwanowice (2)";9164;
1206042;"Jerzmanowice-Przeginia (2)";10964;
1206052;"Kocmyrzów-Luborzyca (2)";15776;
1206063;"Krzeszowice (3)";32129;
1206064;"Krzeszowice - miasto (4)";9975;
1206065;"Krzeszowice - obszar wiejski (5)";22154;
1206072;"Liszki (2)";17447;
1206082;"Michałowice (2)";10762;
1206092;"Mogilany (2)";14233;
1206103;"Skała (3)";10579;
1206104;"Skała - miasto (4)";3801;
1206105;"Skała - obszar wiejski (5)";6778;
1206113;"Skawina (3)";43586;
1206114;"Skawina - miasto (4)";24310;
1206115;"Skawina - obszar wiejski (5)";19276;
1206123;"Słomniki (3)";13638;
1206124;"Słomniki - miasto (4)";4321;
1206125;"Słomniki - obszar wiejski (5)";9317;
1206132;"Sułoszowa (2)";5835;
1206143;"Świątniki Górne (3)";10195;
1206144;"Świątniki Górne - miasto (4)";2438;
1206145;"Świątniki Górne - obszar wiejski (5)";7757;
1206152;"Wielka Wieś (2)";12721;
1206162;"Zabierzów (2)";26708;
1206172;"Zielonki (2)";23092;
1207000;"Powiat limanowski";131764;
1207011;"Limanowa (1)";15162;
1207021;"Mszana Dolna (1)";7889;
1207032;"Dobra (2)";9983;
1207042;"Jodłownik (2)";8690;
1207052;"Kamienica (2)";7850;
1207062;"Laskowa (2)";8206;
1207072;"Limanowa (2)";25607;
1207082;"Łukowica (2)";10062;
1207092;"Mszana Dolna (2)";17623;
1207102;"Niedźwiedź (2)";7337;
1207112;"Słopnice (2)";6764;
1207122;"Tymbark (2)";6591;
1208000;"Powiat miechowski";48818;
1208012;"Charsznica (2)";7441;
1208022;"Gołcza (2)";6047;
1208032;"Kozłów (2)";4582;
1208042;"Książ Wielki (2)";5073;
1208053;"Miechów (3)";19645;
1208054;"Miechów - miasto (4)";11569;
1208055;"Miechów - obszar wiejski (5)";8076;
1208062;"Racławice (2)";2508;
1208072;"Słaboszów (2)";3522;
1209000;"Powiat myślenicki";127600;
1209013;"Dobczyce (3)";15321;
1209014;"Dobczyce - miasto (4)";6427;
1209015;"Dobczyce - obszar wiejski (5)";8894;
1209022;"Lubień (2)";10076;
1209033;"Myślenice (3)";44444;
1209034;"Myślenice - miasto (4)";18366;
1209035;"Myślenice - obszar wiejski (5)";26078;
1209042;"Pcim (2)";11131;
1209052;"Raciechowice (2)";6413;
1209062;"Siepraw (2)";9001;
1209073;"Sułkowice (3)";14982;
1209074;"Sułkowice - miasto (4)";6633;
1209075;"Sułkowice - obszar wiejski (5)";8349;
1209082;"Tokarnia (2)";8820;
1209092;"Wiśniowa (2)";7412;
1210000;"Powiat nowosądecki";216796;
1210011;"Grybów (1)";6026;
1210022;"Chełmiec (2)";28834;
1210032;"Gródek nad Dunajcem (2)";9252;
1210042;"Grybów (2)";25579;
1210052;"Kamionka Wielka (2)";10432;
1210062;"Korzenna (2)";14497;
1210073;"Krynica-Zdrój (3)";16680;
1210074;"Krynica-Zdrój - miasto (4)";10568;
1210075;"Krynica-Zdrój - obszar wiejski (5)";6112;
1210082;"Łabowa (2)";6089;
1210092;"Łącko (2)";16522;
1210102;"Łososina Dolna (2)";11144;
1210113;"Muszyna (3)";11566;
1210114;"Muszyna - miasto (4)";4760;
1210115;"Muszyna - obszar wiejski (5)";6806;
1210122;"Nawojowa (2)";8730;
1210133;"Piwniczna-Zdrój (3)";10588;
1210134;"Piwniczna-Zdrój - miasto (4)";5860;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";4728;
1210142;"Podegrodzie (2)";13279;
1210152;"Rytro (2)";3777;
1210163;"Stary Sącz (3)";23801;
1210164;"Stary Sącz - miasto (4)";9085;
1210165;"Stary Sącz - obszar wiejski (5)";14716;
1211000;"Powiat nowotarski";191782;
1211011;"Nowy Targ (1)";33293;
1211023;"Szczawnica (3)";7204;
1211024;"Szczawnica - miasto (4)";5711;
1211025;"Szczawnica - obszar wiejski (5)";1493;
1211032;"Czarny Dunajec (2)";22626;
1211042;"Czorsztyn (2)";7663;
1211052;"Jabłonka (2)";18664;
1211062;"Krościenko nad Dunajcem (2)";6802;
1211072;"Lipnica Wielka (2)";6015;
1211082;"Łapsze Niżne (2)";9379;
1211092;"Nowy Targ (2)";24070;
1211102;"Ochotnica Dolna (2)";8513;
1211112;"Raba Wyżna (2)";14750;
1211123;"Rabka-Zdrój (3)";17091;
1211124;"Rabka-Zdrój - miasto (4)";12772;
1211125;"Rabka-Zdrój - obszar wiejski (5)";4319;
1211132;"Spytkowice (2)";4609;
1211142;"Szaflary (2)";11103;
1212000;"Powiat olkuski";111217;
1212011;"Bukowno (1)";10106;
1212032;"Bolesław (2)";7745;
1212042;"Klucze (2)";14973;
1212053;"Olkusz (3)";48601;
1212054;"Olkusz - miasto (4)";35170;
1212055;"Olkusz - obszar wiejski (5)";13431;
1212062;"Trzyciąż (2)";7039;
1212073;"Wolbrom (3)";22753;
1212074;"Wolbrom - miasto (4)";8561;
1212075;"Wolbrom - obszar wiejski (5)";14192;
1213000;"Powiat oświęcimski";153486;
1213011;"Oświęcim (1)";38005;
1213023;"Brzeszcze (3)";21214;
1213024;"Brzeszcze - miasto (4)";11192;
1213025;"Brzeszcze - obszar wiejski (5)";10022;
1213033;"Chełmek (3)";12990;
1213034;"Chełmek - miasto (4)";9031;
1213035;"Chełmek - obszar wiejski (5)";3959;
1213043;"Kęty (3)";34157;
1213044;"Kęty - miasto (4)";18623;
1213045;"Kęty - obszar wiejski (5)";15534;
1213052;"Osiek (2)";8224;
1213062;"Oświęcim (2)";18505;
1213072;"Polanka Wielka (2)";4313;
1213082;"Przeciszów (2)";6761;
1213093;"Zator (3)";9317;
1213094;"Zator - miasto (4)";3664;
1213095;"Zator - obszar wiejski (5)";5653;
1214000;"Powiat proszowicki";43222;
1214012;"Koniusza (2)";9007;
1214023;"Koszyce (3)";5454;
1214024;"Koszyce - miasto (4)";778;
1214025;"Koszyce - obszar wiejski (5)";4676;
1214033;"Nowe Brzesko (3)";5712;
1214034;"Nowe Brzesko - miasto (4)";1667;
1214035;"Nowe Brzesko - obszar wiejski (5)";4045;
1214042;"Pałecznica (2)";3568;
1214053;"Proszowice (3)";16139;
1214054;"Proszowice - miasto (4)";5983;
1214055;"Proszowice - obszar wiejski (5)";10156;
1214062;"Radziemice (2)";3342;
1215000;"Powiat suski";84232;
1215011;"Jordanów (1)";5366;
1215021;"Sucha Beskidzka (1)";9088;
1215032;"Budzów (2)";8945;
1215042;"Bystra-Sidzina (2)";6920;
1215052;"Jordanów (2)";11180;
1215063;"Maków Podhalański (3)";16077;
1215064;"Maków Podhalański - miasto (4)";5824;
1215065;"Maków Podhalański - obszar wiejski (5)";10253;
1215072;"Stryszawa (2)";11940;
1215082;"Zawoja (2)";9086;
1215092;"Zembrzyce (2)";5630;
1216000;"Powiat tarnowski";201497;
1216013;"Ciężkowice (3)";11209;
1216014;"Ciężkowice - miasto (4)";2479;
1216015;"Ciężkowice - obszar wiejski (5)";8730;
1216022;"Gromnik (2)";8922;
1216032;"Lisia Góra (2)";15402;
1216042;"Pleśna (2)";11944;
1216053;"Radłów (3)";9666;
1216054;"Radłów - miasto (4)";2742;
1216055;"Radłów - obszar wiejski (5)";6924;
1216063;"Ryglice (3)";11652;
1216064;"Ryglice - miasto (4)";2836;
1216065;"Ryglice - obszar wiejski (5)";8816;
1216072;"Rzepiennik Strzyżewski (2)";6738;
1216082;"Skrzyszów (2)";14303;
1216092;"Tarnów (2)";26202;
1216103;"Tuchów (3)";17916;
1216104;"Tuchów - miasto (4)";6594;
1216105;"Tuchów - obszar wiejski (5)";11322;
1216112;"Wierzchosławice (2)";10857;
1216122;"Wietrzychowice (2)";3938;
1216133;"Wojnicz (3)";13443;
1216134;"Wojnicz - miasto (4)";3314;
1216135;"Wojnicz - obszar wiejski (5)";10129;
1216143;"Zakliczyn (3)";12488;
1216144;"Zakliczyn - miasto (4)";1631;
1216145;"Zakliczyn - obszar wiejski (5)";10857;
1216153;"Żabno (3)";18874;
1216154;"Żabno - miasto (4)";4200;
1216155;"Żabno - obszar wiejski (5)";14674;
1216162;"Szerzyny (2)";7943;
1217000;"Powiat tatrzański";68072;
1217011;"Zakopane (1)";27010;
1217022;"Biały Dunajec (2)";7179;
1217032;"Bukowina Tatrzańska (2)";13387;
1217042;"Kościelisko (2)";8846;
1217052;"Poronin (2)";11650;
1218000;"Powiat wadowicki";160006;
1218013;"Andrychów (3)";43477;
1218014;"Andrychów - miasto (4)";20016;
1218015;"Andrychów - obszar wiejski (5)";23461;
1218022;"Brzeźnica (2)";10426;
1218033;"Kalwaria Zebrzydowska (3)";20012;
1218034;"Kalwaria Zebrzydowska - miasto (4)";4493;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";15519;
1218042;"Lanckorona (2)";6245;
1218052;"Mucharz (2)";4122;
1218062;"Spytkowice (2)";10365;
1218072;"Stryszów (2)";6865;
1218082;"Tomice (2)";8174;
1218093;"Wadowice (3)";37888;
1218094;"Wadowice - miasto (4)";18692;
1218095;"Wadowice - obszar wiejski (5)";19196;
1218102;"Wieprz (2)";12432;
1219000;"Powiat wielicki";129136;
1219012;"Biskupice (2)";10450;
1219022;"Gdów (2)";18296;
1219032;"Kłaj (2)";10768;
1219043;"Niepołomice (3)";29141;
1219044;"Niepołomice - miasto (4)";13564;
1219045;"Niepołomice - obszar wiejski (5)";15577;
1219053;"Wieliczka (3)";60481;
1219054;"Wieliczka - miasto (4)";23849;
1219055;"Wieliczka - obszar wiejski (5)";36632;
1261000;"Powiat m.Kraków";779115;
1261011;"Kraków (1)";779115;
1262000;"Powiat m.Nowy Sącz";83794;
1262011;"Nowy Sącz (1)";83794;
1263000;"Powiat m.Tarnów";108470;
1263011;"Tarnów (1)";108470;
1400000;"MAZOWIECKIE";5423168;
1401000;"Powiat białobrzeski";33410;
1401013;"Białobrzegi (3)";10263;
1401014;"Białobrzegi - miasto (4)";6891;
1401015;"Białobrzegi - obszar wiejski (5)";3372;
1401022;"Promna (2)";5555;
1401032;"Radzanów (2)";3887;
1401042;"Stara Błotnica (2)";5298;
1401052;"Stromiec (2)";5628;
1401063;"Wyśmierzyce (3)";2779;
1401064;"Wyśmierzyce - miasto (4)";894;
1401065;"Wyśmierzyce - obszar wiejski (5)";1885;
1402000;"Powiat ciechanowski";89423;
1402011;"Ciechanów (1)";44138;
1402022;"Ciechanów (2)";7117;
1402033;"Glinojeck (3)";7832;
1402034;"Glinojeck - miasto (4)";3008;
1402035;"Glinojeck - obszar wiejski (5)";4824;
1402042;"Gołymin-Ośrodek (2)";3752;
1402052;"Grudusk (2)";3586;
1402062;"Ojrzeń (2)";4291;
1402072;"Opinogóra Górna (2)";5963;
1402082;"Regimin (2)";4989;
1402092;"Sońsk (2)";7755;
1403000;"Powiat garwoliński";108981;
1403011;"Garwolin (1)";17602;
1403021;"Łaskarzew (1)";4829;
1403032;"Borowie (2)";5283;
1403042;"Garwolin (2)";13273;
1403052;"Górzno (2)";6541;
1403062;"Łaskarzew (2)";5475;
1403072;"Maciejowice (2)";6909;
1403082;"Miastków Kościelny (2)";4869;
1403092;"Parysów (2)";4128;
1403103;"Pilawa (3)";10975;
1403104;"Pilawa - miasto (4)";4588;
1403105;"Pilawa - obszar wiejski (5)";6387;
1403112;"Sobolew (2)";8239;
1403122;"Trojanów (2)";7299;
1403132;"Wilga (2)";5278;
1403143;"Żelechów (3)";8281;
1403144;"Żelechów - miasto (4)";3930;
1403145;"Żelechów - obszar wiejski (5)";4351;
1404000;"Powiat gostyniński";44899;
1404011;"Gostynin (1)";18527;
1404022;"Gostynin (2)";12005;
1404032;"Pacyna (2)";3527;
1404043;"Sanniki (3)";5997;
1404044;"Sanniki - miasto (4)";1949;
1404045;"Sanniki - obszar wiejski (5)";4048;
1404052;"Szczawin Kościelny (2)";4843;
1405000;"Powiat grodziski";95963;
1405011;"Milanówek (1)";16416;
1405021;"Podkowa Leśna (1)";3844;
1405032;"Baranów (2)";5340;
1405043;"Grodzisk Mazowiecki (3)";48907;
1405044;"Grodzisk Mazowiecki - miasto (4)";32125;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";16782;
1405052;"Jaktorów (2)";12471;
1405062;"Żabia Wola (2)";8985;
1406000;"Powiat grójecki";98311;
1406012;"Belsk Duży (2)";6475;
1406022;"Błędów (2)";7415;
1406032;"Chynów (2)";9846;
1406042;"Goszczyn (2)";2971;
1406053;"Grójec (3)";25855;
1406054;"Grójec - miasto (4)";16758;
1406055;"Grójec - obszar wiejski (5)";9097;
1406062;"Jasieniec (2)";5376;
1406073;"Mogielnica (3)";8682;
1406074;"Mogielnica - miasto (4)";2237;
1406075;"Mogielnica - obszar wiejski (5)";6445;
1406083;"Nowe Miasto nad Pilicą (3)";7668;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";3717;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";3951;
1406092;"Pniewy (2)";4797;
1406113;"Warka (3)";19226;
1406114;"Warka - miasto (4)";11952;
1406115;"Warka - obszar wiejski (5)";7274;
1407000;"Powiat kozienicki";59997;
1407012;"Garbatka-Letnisko (2)";5001;
1407022;"Głowaczów (2)";7166;
1407032;"Gniewoszów (2)";3878;
1407042;"Grabów nad Pilicą (2)";3899;
1407053;"Kozienice (3)";29421;
1407054;"Kozienice - miasto (4)";17072;
1407055;"Kozienice - obszar wiejski (5)";12349;
1407062;"Magnuszew (2)";6742;
1407072;"Sieciechów (2)";3890;
1408000;"Powiat legionowski";118585;
1408011;"Legionowo (1)";53886;
1408022;"Jabłonna (2)";19659;
1408032;"Nieporęt (2)";14687;
1408043;"Serock (3)";15125;
1408044;"Serock - miasto (4)";4585;
1408045;"Serock - obszar wiejski (5)";10540;
1408052;"Wieliszew (2)";15228;
1409000;"Powiat lipski";33874;
1409012;"Chotcza (2)";2326;
1409022;"Ciepielów (2)";5530;
1409033;"Lipsko (3)";10970;
1409034;"Lipsko - miasto (4)";5455;
1409035;"Lipsko - obszar wiejski (5)";5515;
1409042;"Rzeczniów (2)";4352;
1409052;"Sienno (2)";5802;
1409062;"Solec nad Wisłą (2)";4894;
1410000;"Powiat łosicki";30774;
1410012;"Huszlew (2)";2813;
1410023;"Łosice (3)";10787;
1410024;"Łosice - miasto (4)";7042;
1410025;"Łosice - obszar wiejski (5)";3745;
1410032;"Olszanka (2)";2943;
1410042;"Platerów (2)";4849;
1410052;"Sarnaki (2)";4645;
1410062;"Stara Kornica (2)";4737;
1411000;"Powiat makowski";44892;
1411011;"Maków Mazowiecki (1)";9711;
1411022;"Czerwonka (2)";2647;
1411032;"Karniewo (2)";5176;
1411042;"Krasnosielc (2)";6352;
1411052;"Młynarze (2)";1742;
1411062;"Płoniawy-Bramura (2)";5336;
1411073;"Różan (3)";4418;
1411074;"Różan - miasto (4)";2720;
1411075;"Różan - obszar wiejski (5)";1698;
1411082;"Rzewnie (2)";2638;
1411092;"Sypniewo (2)";3248;
1411102;"Szelków (2)";3624;
1412000;"Powiat miński";154526;
1412011;"Mińsk Mazowiecki (1)";40999;
1412042;"Cegłów (2)";6087;
1412052;"Dębe Wielkie (2)";10518;
1412062;"Dobre (2)";5985;
1412073;"Halinów (3)";16336;
1412074;"Halinów - miasto (4)";3745;
1412075;"Halinów - obszar wiejski (5)";12591;
1412082;"Jakubów (2)";5101;
1412093;"Kałuszyn (3)";5825;
1412094;"Kałuszyn - miasto (4)";2891;
1412095;"Kałuszyn - obszar wiejski (5)";2934;
1412102;"Latowicz (2)";5399;
1412112;"Mińsk Mazowiecki (2)";15490;
1412123;"Mrozy (3)";8712;
1412124;"Mrozy - miasto (4)";3588;
1412125;"Mrozy - obszar wiejski (5)";5124;
1412132;"Siennica (2)";7480;
1412142;"Stanisławów (2)";6756;
1412151;"Sulejówek (1)";19838;
1413000;"Powiat mławski";72626;
1413011;"Mława (1)";31246;
1413022;"Dzierzgowo (2)";3051;
1413032;"Lipowiec Kościelny (2)";4781;
1413042;"Radzanów (2)";3270;
1413052;"Strzegowo (2)";7478;
1413062;"Stupsk (2)";4836;
1413072;"Szreńsk (2)";4115;
1413082;"Szydłowo (2)";4576;
1413092;"Wieczfnia Kościelna (2)";4048;
1413102;"Wiśniewo (2)";5225;
1414000;"Powiat nowodworski";79378;
1414011;"Nowy Dwór Mazowiecki (1)";28679;
1414022;"Czosnów (2)";9991;
1414032;"Leoncin (2)";5620;
1414043;"Nasielsk (3)";19965;
1414044;"Nasielsk - miasto (4)";7697;
1414045;"Nasielsk - obszar wiejski (5)";12268;
1414052;"Pomiechówek (2)";9090;
1414063;"Zakroczym (3)";6033;
1414064;"Zakroczym - miasto (4)";3183;
1414065;"Zakroczym - obszar wiejski (5)";2850;
1415000;"Powiat ostrołęcki";88654;
1415012;"Baranowo (2)";6496;
1415022;"Czarnia (2)";2513;
1415032;"Czerwin (2)";5098;
1415042;"Goworowo (2)";8275;
1415052;"Kadzidło (2)";11363;
1415062;"Lelis (2)";9707;
1415072;"Łyse (2)";8384;
1415083;"Myszyniec (3)";10437;
1415084;"Myszyniec - miasto (4)";3421;
1415085;"Myszyniec - obszar wiejski (5)";7016;
1415092;"Olszewo-Borki (2)";10786;
1415102;"Rzekuń (2)";10839;
1415112;"Troszyn (2)";4756;
1416000;"Powiat ostrowski";72328;
1416011;"Ostrów Mazowiecka (1)";22399;
1416022;"Andrzejewo (2)";4063;
1416032;"Boguty-Pianki (2)";2581;
1416043;"Brok (3)";2813;
1416044;"Brok - miasto (4)";1924;
1416045;"Brok - obszar wiejski (5)";889;
1416052;"Małkinia Górna (2)";11624;
1416062;"Nur (2)";2673;
1416072;"Ostrów Mazowiecka (2)";12884;
1416082;"Stary Lubotyń (2)";3707;
1416092;"Szulborze Wielkie (2)";1646;
1416102;"Wąsewo (2)";4293;
1416112;"Zaręby Kościelne (2)";3645;
1417000;"Powiat otwocki";124352;
1417011;"Józefów (1)";20724;
1417021;"Otwock (1)";44635;
1417032;"Celestynów (2)";11732;
1417043;"Karczew (3)";15899;
1417044;"Karczew - miasto (4)";9826;
1417045;"Karczew - obszar wiejski (5)";6073;
1417052;"Kołbiel (2)";8230;
1417062;"Osieck (2)";3636;
1417072;"Sobienie-Jeziory (2)";6388;
1417082;"Wiązowna (2)";13108;
1418000;"Powiat piaseczyński";188281;
1418013;"Góra Kalwaria (3)";27063;
1418014;"Góra Kalwaria - miasto (4)";12109;
1418015;"Góra Kalwaria - obszar wiejski (5)";14954;
1418023;"Konstancin-Jeziorna (3)";24726;
1418024;"Konstancin-Jeziorna - miasto (4)";17040;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";7686;
1418032;"Lesznowola (2)";28500;
1418043;"Piaseczno (3)";85226;
1418044;"Piaseczno - miasto (4)";48450;
1418045;"Piaseczno - obszar wiejski (5)";36776;
1418052;"Prażmów (2)";11199;
1418063;"Tarczyn (3)";11567;
1418064;"Tarczyn - miasto (4)";4132;
1418065;"Tarczyn - obszar wiejski (5)";7435;
1419000;"Powiat płocki";110952;
1419012;"Bielsk (2)";9071;
1419022;"Bodzanów (2)";8187;
1419032;"Brudzeń Duży (2)";8267;
1419042;"Bulkowo (2)";5512;
1419053;"Drobin (3)";7891;
1419054;"Drobin - miasto (4)";2861;
1419055;"Drobin - obszar wiejski (5)";5030;
1419063;"Gąbin (3)";11025;
1419064;"Gąbin - miasto (4)";4121;
1419065;"Gąbin - obszar wiejski (5)";6904;
1419072;"Łąck (2)";5408;
1419082;"Mała Wieś (2)";5968;
1419092;"Nowy Duninów (2)";3977;
1419102;"Radzanowo (2)";8500;
1419112;"Słubice (2)";4429;
1419122;"Słupno (2)";7958;
1419132;"Stara Biała (2)";11968;
1419142;"Staroźreby (2)";7216;
1419153;"Wyszogród (3)";5575;
1419154;"Wyszogród - miasto (4)";2601;
1419155;"Wyszogród - obszar wiejski (5)";2974;
1420000;"Powiat płoński";87054;
1420011;"Płońsk (1)";22107;
1420021;"Raciąż (1)";4394;
1420032;"Baboszewo (2)";7955;
1420042;"Czerwińsk nad Wisłą (2)";7640;
1420052;"Dzierzążnia (2)";3632;
1420062;"Joniec (2)";2655;
1420072;"Naruszewo (2)";6312;
1420082;"Nowe Miasto (2)";4655;
1420092;"Płońsk (2)";7943;
1420102;"Raciąż (2)";8283;
1420112;"Sochocin (2)";5809;
1420122;"Załuski (2)";5669;
1421000;"Powiat pruszkowski";165912;
1421011;"Piastów (1)";22679;
1421021;"Pruszków (1)";62317;
1421033;"Brwinów (3)";26718;
1421034;"Brwinów - miasto (4)";13698;
1421035;"Brwinów - obszar wiejski (5)";13020;
1421042;"Michałowice (2)";18321;
1421052;"Nadarzyn (2)";14032;
1421062;"Raszyn (2)";21845;
1422000;"Powiat przasnyski";52511;
1422011;"Przasnysz (1)";17177;
1422023;"Chorzele (3)";10175;
1422024;"Chorzele - miasto (4)";3113;
1422025;"Chorzele - obszar wiejski (5)";7062;
1422032;"Czernice Borowe (2)";3801;
1422042;"Jednorożec (2)";7081;
1422052;"Krasne (2)";3610;
1422062;"Krzynowłoga Mała (2)";3439;
1422072;"Przasnysz (2)";7228;
1423000;"Powiat przysuski";41455;
1423012;"Borkowice (2)";4261;
1423022;"Gielniów (2)";4542;
1423032;"Klwów (2)";3380;
1423042;"Odrzywół (2)";3752;
1423052;"Potworów (2)";4187;
1423063;"Przysucha (3)";11783;
1423064;"Przysucha - miasto (4)";5801;
1423065;"Przysucha - obszar wiejski (5)";5982;
1423072;"Rusinów (2)";4274;
1423082;"Wieniawa (2)";5276;
1424000;"Powiat pułtuski";51824;
1424012;"Gzy (2)";3754;
1424022;"Obryte (2)";4805;
1424032;"Pokrzywnica (2)";5029;
1424043;"Pułtusk (3)";24683;
1424044;"Pułtusk - miasto (4)";19414;
1424045;"Pułtusk - obszar wiejski (5)";5269;
1424052;"Świercze (2)";4613;
1424062;"Winnica (2)";4091;
1424072;"Zatory (2)";4849;
1425000;"Powiat radomski";152291;
1425011;"Pionki (1)";18159;
1425022;"Gózd (2)";8978;
1425033;"Iłża (3)";14656;
1425034;"Iłża - miasto (4)";4727;
1425035;"Iłża - obszar wiejski (5)";9929;
1425042;"Jastrzębia (2)";6996;
1425052;"Jedlińsk (2)";14548;
1425062;"Jedlnia-Letnisko (2)";12838;
1425072;"Kowala (2)";12247;
1425082;"Pionki (2)";9979;
1425092;"Przytyk (2)";7308;
1425103;"Skaryszew (3)";14782;
1425104;"Skaryszew - miasto (4)";4354;
1425105;"Skaryszew - obszar wiejski (5)";10428;
1425112;"Wierzbica (2)";9672;
1425122;"Wolanów (2)";8906;
1425132;"Zakrzew (2)";13222;
1426000;"Powiat siedlecki";81362;
1426012;"Domanice (2)";2610;
1426022;"Korczew (2)";2599;
1426032;"Kotuń (2)";8501;
1426042;"Mokobody (2)";4939;
1426053;"Mordy (3)";5780;
1426054;"Mordy - miasto (4)";1750;
1426055;"Mordy - obszar wiejski (5)";4030;
1426062;"Paprotnia (2)";2549;
1426072;"Przesmyki (2)";3169;
1426082;"Siedlce (2)";18406;
1426092;"Skórzec (2)";7872;
1426102;"Suchożebry (2)";4693;
1426112;"Wiśniew (2)";5747;
1426122;"Wodynie (2)";4391;
1426132;"Zbuczyn (2)";10106;
1427000;"Powiat sierpecki";51954;
1427011;"Sierpc (1)";17933;
1427022;"Gozdowo (2)";5943;
1427032;"Mochowo (2)";6009;
1427042;"Rościszewo (2)";4139;
1427052;"Sierpc (2)";7042;
1427062;"Szczutowo (2)";4310;
1427072;"Zawidz (2)";6578;
1428000;"Powiat sochaczewski";85045;
1428011;"Sochaczew (1)";36282;
1428022;"Brochów (2)";4371;
1428032;"Iłów (2)";6132;
1428042;"Młodzieszyn (2)";5575;
1428052;"Nowa Sucha (2)";6686;
1428062;"Rybno (2)";3478;
1428072;"Sochaczew (2)";10976;
1428082;"Teresin (2)";11545;
1429000;"Powiat sokołowski";53804;
1429011;"Sokołów Podlaski (1)";18945;
1429022;"Bielany (2)";3609;
1429032;"Ceranów (2)";2169;
1429042;"Jabłonna Lacka (2)";4417;
1429053;"Kosów Lacki (3)";5947;
1429054;"Kosów Lacki - miasto (4)";2087;
1429055;"Kosów Lacki - obszar wiejski (5)";3860;
1429062;"Repki (2)";5173;
1429072;"Sabnie (2)";3636;
1429082;"Sokołów Podlaski (2)";6019;
1429092;"Sterdyń (2)";3889;
1430000;"Powiat szydłowiecki";39672;
1430012;"Chlewiska (2)";5911;
1430022;"Jastrząb (2)";5196;
1430032;"Mirów (2)";3898;
1430042;"Orońsko (2)";5969;
1430053;"Szydłowiec (3)";18698;
1430054;"Szydłowiec - miasto (4)";11687;
1430055;"Szydłowiec - obszar wiejski (5)";7011;
1432000;"Powiat warszawski zachodni";118613;
1432013;"Błonie (3)";21565;
1432014;"Błonie - miasto (4)";12195;
1432015;"Błonie - obszar wiejski (5)";9370;
1432022;"Izabelin (2)";10572;
1432032;"Kampinos (2)";4347;
1432042;"Leszno (2)";10207;
1432053;"Łomianki (3)";27203;
1432054;"Łomianki - miasto (4)";17042;
1432055;"Łomianki - obszar wiejski (5)";10161;
1432063;"Ożarów Mazowiecki (3)";25440;
1432064;"Ożarów Mazowiecki - miasto (4)";11938;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";13502;
1432072;"Stare Babice (2)";19279;
1433000;"Powiat węgrowski";65822;
1433011;"Węgrów (1)";12583;
1433022;"Grębków (2)";4443;
1433032;"Korytnica (2)";6218;
1433042;"Liw (2)";7344;
1433053;"Łochów (3)";17899;
1433054;"Łochów - miasto (4)";6838;
1433055;"Łochów - obszar wiejski (5)";11061;
1433062;"Miedzna (2)";3812;
1433072;"Sadowne (2)";5828;
1433082;"Stoczek (2)";4945;
1433092;"Wierzbno (2)";2750;
1434000;"Powiat wołomiński";249299;
1434011;"Kobyłka (1)";24414;
1434021;"Marki (1)";35461;
1434031;"Ząbki (1)";37818;
1434041;"Zielonka (1)";17560;
1434052;"Dąbrówka (2)";8150;
1434062;"Jadów (2)";7462;
1434072;"Klembów (2)";9968;
1434082;"Poświętne (2)";6249;
1434093;"Radzymin (3)";27504;
1434094;"Radzymin - miasto (4)";13118;
1434095;"Radzymin - obszar wiejski (5)";14386;
1434102;"Strachówka (2)";2720;
1434113;"Tłuszcz (3)";20109;
1434114;"Tłuszcz - miasto (4)";8196;
1434115;"Tłuszcz - obszar wiejski (5)";11913;
1434123;"Wołomin (3)";51884;
1434124;"Wołomin - miasto (4)";37056;
1434125;"Wołomin - obszar wiejski (5)";14828;
1435000;"Powiat wyszkowski";74220;
1435012;"Brańszczyk (2)";8252;
1435022;"Długosiodło (2)";7779;
1435032;"Rząśnik (2)";7004;
1435042;"Somianka (2)";5605;
1435053;"Wyszków (3)";39637;
1435054;"Wyszków - miasto (4)";26997;
1435055;"Wyszków - obszar wiejski (5)";12640;
1435062;"Zabrodzie (2)";5943;
1436000;"Powiat zwoleński";36166;
1436012;"Kazanów (2)";4504;
1436022;"Policzna (2)";5473;
1436032;"Przyłęk (2)";6154;
1436042;"Tczów (2)";4910;
1436053;"Zwoleń (3)";15125;
1436054;"Zwoleń - miasto (4)";7715;
1436055;"Zwoleń - obszar wiejski (5)";7410;
1437000;"Powiat żuromiński";38515;
1437013;"Bieżuń (3)";4973;
1437014;"Bieżuń - miasto (4)";1850;
1437015;"Bieżuń - obszar wiejski (5)";3123;
1437022;"Kuczbork-Osada (2)";4714;
1437033;"Lubowidz (3)";6849;
1437034;"Lubowidz - miasto (4)";1651;
1437035;"Lubowidz - obszar wiejski (5)";5198;
1437042;"Lutocin (2)";4236;
1437052;"Siemiątkowo (2)";3439;
1437063;"Żuromin (3)";14304;
